Fuel_Type,Kilometers_Driven,No_of_Owners,Manufactured_By,Car_Model,Car_Produced_Year,price,Registration_Year,Transmission_Type,Mileage(kmpl),Engine_CC,No_of_Seats,city,Car_Age
4.0,4.7753211403466884e-05,1,9.0,77.0,2019,619000,2019,1.0,18.9,1197,5,0.0,5
1.0,2e-05,2,20.0,183.0,2018,1000000,2018,1.0,24.3,1248,5,0.0,6
4.0,2.1458306510450196e-05,1,8.0,69.0,2018,865000,2018,1.0,17.5,1199,5,0.0,6
1.0,2e-05,2,19.0,141.0,2014,1000000,2014,0.0,11.18,2696,7,0.0,10
1.0,9.615384615384616e-06,2,20.0,179.0,2014,535000,2014,1.0,25.2,1248,5,0.0,10
1.0,1.1111111111111112e-05,1,6.0,50.0,2018,975000,2018,1.0,23.0,1498,5,0.0,6
4.0,1.99860097931448e-05,1,20.0,157.0,2017,699000,2017,1.0,21.4,1197,5,0.0,7
4.0,1.25e-05,1,29.0,265.0,2021,1150000,2021,1.0,17.57,1199,5,0.0,3
4.0,1.1111111111111112e-05,2,9.0,90.0,2015,625000,2015,1.0,18.6,1197,5,0.0,9
1.0,1.1111111111111112e-05,4,21.0,200.0,2011,1000000,2011,0.0,14.21,2143,5,0.0,13
1.0,8.333333333333334e-06,1,30.0,281.0,2011,600000,2011,1.0,21.43,1364,5,0.0,13
4.0,3.972983710766786e-05,1,20.0,180.0,2015,675000,2015,1.0,22.41,1197,5,0.0,9
4.0,3.996483094876509e-05,1,20.0,163.0,2021,893000,2021,1.0,20.65,1462,5,0.0,3
1.0,1e-05,2,20.0,179.0,2012,420000,2012,1.0,22.9,1248,5,0.0,12
4.0,3.792619562331703e-05,1,20.0,163.0,2020,941000,2020,1.0,20.65,1462,5,0.0,4
4.0,1.306045685478078e-05,2,9.0,75.0,2015,630000,2015,0.0,14.5,1797,5,0.0,9
1.0,8.333333333333334e-06,2,30.0,289.0,2013,1275000,2013,1.0,12.99,2494,7,0.0,11
4.0,2.7428069886722073e-05,2,9.0,77.0,2015,525000,2015,0.0,18.9,1197,5,0.0,9
1.0,1.0669511869831956e-05,1,20.0,178.0,2016,750000,2016,1.0,23.65,1248,5,0.0,8
4.0,8.650593863268713e-06,2,20.0,163.0,2016,632000,2016,0.0,19.12,1373,5,0.0,8
4.0,2.300490004370931e-05,1,20.0,180.0,2015,645000,2016,1.0,22.41,1197,5,0.0,9
4.0,1.4285714285714285e-05,4,6.0,56.0,2005,500000,2005,1.0,13.8,1299,5,0.0,19
1.0,1.2987012987012988e-05,2,1.0,23.0,2019,6795000,2019,0.0,13.38,2993,5,0.0,5
1.0,1e-05,1,20.0,183.0,2018,850000,2018,1.0,24.3,1248,5,0.0,6
4.0,1.388888888888889e-05,1,23.0,220.0,2008,299000,2008,1.0,14.7,1999,5,0.0,16
1.0,1.2987012987012988e-05,1,11.0,99.0,2013,2095000,2013,0.0,16.36,2179,5,0.0,11
1.0,1.1480924444036234e-05,1,0.0,10.0,2013,2800000,2013,0.0,12.07,2967,7,0.0,11
4.0,2.4527237497240686e-05,2,31.0,300.0,2021,999000,2021,1.0,18.24,999,5,0.0,3
4.0,3.571428571428572e-05,1,8.0,66.0,2018,825000,2018,1.0,18.7,1199,5,0.0,6
4.0,2.5e-05,3,20.0,184.0,2008,250000,2008,1.0,18.9,1061,5,0.0,16
4.0,3.846153846153846e-05,1,9.0,85.0,2020,1295000,2020,0.0,18.15,998,5,0.0,4
4.0,1.3152356902356902e-05,1,20.0,184.0,2012,329000,2012,1.0,18.9,998,5,0.0,12
4.0,8.788890841975743e-06,1,20.0,163.0,2018,666000,2018,1.0,21.56,1462,5,0.0,6
1.0,4.1666666666666665e-05,1,0.0,1.0,2019,2290000,2020,0.0,20.38,1968,5,0.0,5
1.0,1.5194797301404e-05,2,9.0,85.0,2020,1026000,2020,1.0,23.7,1493,5,0.0,4
4.0,0.0001,1,28.0,246.0,2022,1700000,2022,0.0,17.2,999,5,0.0,2
4.0,2.502565129257489e-05,1,20.0,157.0,2016,681000,2016,1.0,21.4,1197,5,0.0,8
4.0,0.0001,1,9.0,71.0,2022,1689999,2022,0.0,14.2,1999,7,0.0,2
4.0,1.5270905870136215e-05,3,20.0,156.0,2016,318000,2017,1.0,24.39,998,5,0.0,8
4.0,2.0335949892219465e-05,1,20.0,157.0,2017,688000,2017,1.0,21.4,1197,5,0.0,7
4.0,5e-05,1,31.0,302.0,2022,1300000,2022,1.0,20.08,999,5,0.0,2
4.0,2e-05,1,9.0,89.0,2009,265000,2009,1.0,20.36,1197,5,0.0,15
4.0,2.5e-05,2,20.0,180.0,2018,645000,2018,0.0,22.0,1197,5,0.0,6
4.0,3.3333333333333335e-05,1,9.0,71.0,2022,2000000,2022,0.0,14.2,1999,7,0.0,2
4.0,2e-05,3,1.0,14.0,2007,900000,2007,0.0,10.9,2497,5,0.0,17
4.0,1.25e-05,1,20.0,179.0,2020,620000,2020,1.0,21.21,1197,5,0.0,4
4.0,5e-05,1,16.0,119.0,2022,1470000,2022,1.0,15.43,1498,5,0.0,2
0.0,1.4285714285714285e-05,1,9.0,70.0,2010,220000,2010,1.0,13.2,1495,5,0.0,14
1.0,1.1111111111111112e-05,1,0.0,3.0,2014,1475000,2014,0.0,17.11,1968,5,0.0,10
4.0,2.5e-05,1,27.0,238.0,2020,415000,2020,1.0,21.74,999,5,0.0,4
4.0,1.567471824693951e-05,1,8.0,66.0,2016,610000,2016,1.0,18.7,1199,5,0.0,8
4.0,1.6606881891855986e-05,2,9.0,77.0,2018,560000,2018,1.0,18.9,1197,5,0.0,6
4.0,0.0001,2,20.0,156.0,2015,425000,2015,0.0,23.95,998,5,0.0,9
4.0,2.621025869525332e-05,1,20.0,157.0,2016,686000,2016,1.0,21.4,1197,5,0.0,8
4.0,1.3074459044257044e-05,1,20.0,179.0,2015,517000,2015,1.0,22.38,1197,5,0.0,9
4.0,2.5e-05,2,20.0,184.0,2015,385000,2015,1.0,20.51,998,5,0.0,9
4.0,2.4616596509366614e-05,1,20.0,157.0,2016,675000,2016,1.0,21.4,1197,5,0.0,8
1.0,5.555555555555556e-05,2,21.0,197.0,2018,3300000,2018,0.0,19.27,2143,5,0.0,6
