ft,bt,km,ownerNo,oem,modelYear,Insurance Validity,Transmission,Mileage,Engine,Torque,Color,No of Cylinder,Values per Cylinder,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,city,Max Power
Petrol,Hatchback,39693,2,Hyundai,2016,Comprehensive,Automatic,18.9,1197.0,114.0,Red,4.0,4.0,3765.0,1660.0,1520.0,2425.0,935.0,4 Speed,5,Power,Tubeless,5,bangalore,82.0
Petrol,Sedan,76597,2,Honda,2014,Comprehensive,Manual,18.0,1198.0,109.0,Others,4.0,4.0,3990.0,1680.0,1505.0,2405.0,950.0,5 Speed,5,Power,Tubeless Radial,4,chennai,86.0
Petrol,Hatchback,61609,2,Hyundai,2011,Third Party,Automatic,16.95,1197.0,111.0,Others,4.0,4.0,3585.0,1595.0,1550.0,2380.0,990.0,4-Speed,5,Power,Tubeless Radial,4,hyderabad,78.0
Diesel,SUV,106360,2,Ford,2015,Comprehensive,Manual,22.7,1498.0,204.0,Blue,4.0,2.0,3999.0,1765.0,1708.0,2520.0,1290.0,5 Speed,5,Power,Tubeless Radial,5,chennai,89.0
Petrol,Hatchback,151000,1,Maruti,2018,Third Party,Manual,24.7,796.0,69.0,White,3.0,4.0,3430.0,1490.0,1475.0,2360.0,720.0,5 Speed,5,Power,Tubeless,5,kolkata,47.0
Petrol,SUV,10000,1,Skoda,2022,Third Party,Automatic,17.2,999.0,178.0,Gray,3.0,4.0,4225.0,1760.0,1612.0,2651.0,1245.0,6 Speed,5,Electric,Tubeless Radial,5,kolkata,113.0
Diesel,SUV,29000,1,Mercedes-Benz,2020,Comprehensive,Automatic,19.305221281860927,1950.0,500.0,White,4.0,4.0,4924.0,2157.0,1772.0,2995.0,2150.0,9 Speed,5,Power,Tubeless Radial,5,delhi,241.0
Diesel,Sedan,54000,1,Hyundai,2015,Third Party,Automatic,19.08,1582.0,259.0,Grey,4.0,4.0,4375.0,1700.0,1475.0,2570.0,1270.0,4 Speed,5,Power,Tubeless,4,kolkata,126.0
Petrol,Hatchback,69748,2,Maruti,2013,Comprehensive,Manual,22.38,1197.0,113.0,Red,4.0,4.0,3845.0,1735.0,1530.0,2450.0,875.0,5 Speed,5,Electric,Tubeless Radial,5,bangalore,88.0
Petrol,Hatchback,90000,2,Hyundai,2015,Comprehensive,Manual,18.6,1197.0,114.0,Maroon,4.0,4.0,3985.0,1734.0,1505.0,2570.0,1066.0,5 Speed,5,Power,Tubeless,5,bangalore,81.0
Petrol,SUV,24000,1,MG,2021,Comprehensive,Automatic,19.305221281860927,1451.0,250.0,White,4.0,4.0,4720.0,1835.0,1760.0,2750.0,1820.0,6-speed CVT,6,Power,Tubeless Radial,5,delhi,141.0
Petrol,Sedan,42000,1,Honda,2019,Comprehensive,Automatic,18.1,1199.0,110.0,Maroon,4.0,4.0,3990.0,1680.0,1505.0,2405.0,985.0,CVT,5,Power,Tubeless Radial,4,bangalore,88.0
Petrol,Hatchback,17436,1,Volkswagen,2019,Third Party,Manual,17.74,999.0,95.0,Blue,3.0,4.0,3971.0,1682.0,1469.0,2469.0,1030.0,5 Speed,5,Electronic,Tubeless Radial,5,kolkata,75.0
Petrol,Hatchback,55024,1,Maruti,2010,Comprehensive,Manual,19.7,796.0,62.0,Others,3.0,4.0,3495.0,1475.0,1460.0,2360.0,705.0,5 Speed,5,Power,Tubeless Radial,5,hyderabad,46.0
Diesel,Sedan,105792,1,Volkswagen,2018,Comprehensive,Manual,22.27,1498.0,250.0,Silver,4.0,4.0,4390.0,1699.0,1467.0,2553.0,1216.0,5 Speed,5,Power,Tubeless Radial,4,delhi,108.0
Petrol,MUV,53400,1,Renault,2020,Zero Dep,Manual,20.0,999.0,96.0,Red,3.0,4.0,3991.0,1739.0,1643.0,2518.403850840848,947.0,5 Speed,7,Electric,Tubeless Radial,5,delhi,71.0
Diesel,SUV,98500,1,Land Rover,2016,Third Party,Automatic,12.51,2179.0,420.0,White,4.0,4.0,4600.0,2173.0,1724.0,2741.0,2152.0,9 Speed,7,Power,Tubeless,5,bangalore,187.0
Petrol,Hatchback,10000,1,Maruti,2021,Third Party,Manual,21.79,998.0,90.0,Others,3.0,4.0,3655.0,1620.0,1675.0,2435.0,805.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,67.0
Petrol,Hatchback,57806,2,Renault,2017,Comprehensive,Manual,25.17,799.0,72.0,Silver,3.0,4.0,3679.0,1579.0,1478.0,2422.0,730.0,5 Speed,5,Power,Tubeless Radial,5,delhi,53.0
Diesel,Hatchback,40000,2,Tata,2017,Third Party,Manual,27.28,1047.0,140.0,Others,3.0,4.0,3746.0,1647.0,1535.0,2400.0,1050.0,5 Speed,5,Power,Tubeless,5,kolkata,69.0
Petrol,SUV,16000,1,Mercedes-Benz,2022,Comprehensive,Automatic,19.305221281860927,2999.0,500.0,White,6.0,4.0,5207.0,2157.0,1823.0,3135.0,2460.0,9 Speed,7,Electric,Tubeless Radial,5,delhi,362.0
Petrol,SUV,22000,1,Hyundai,2021,Comprehensive,Automatic,18.15,998.0,172.0,White,3.0,4.0,3995.0,1770.0,1605.0,2500.0,1440.0,7 Speed DCT,5,Electric,Radial,5,kolkata,118.0
Petrol,SUV,10048,1,Tata,2018,Zero Dep,Manual,17.0,1198.0,170.0,Blue,3.0,4.0,3994.0,1811.0,1607.0,2498.0,1252.0,6 Speed,5,Power,Tubeless Radial,5,chennai,108.0
Diesel,Hatchback,145716,2,Maruti,2012,Third Party,Manual,22.9,1248.0,190.0,White,4.0,4.0,3850.0,1695.0,1530.0,2430.0,1060.0,5 Speed,5,Power,Tubeless Radial,5,jaipur,74.0
Petrol,Hatchback,76605,1,Maruti,2010,Comprehensive,Manual,18.9,998.0,90.0,Blue,3.0,4.0,3595.0,1495.0,1700.0,2400.0,885.0,5 Speed,5,Power,Tubeless Radial,4,delhi,67.0
Cng,Hatchback,75000,1,Maruti,2015,Comprehensive,Manual,33.54,998.0,90.0,Silver,3.0,4.0,3655.0,1620.0,1675.0,2435.0,805.0,5 Speed,5,Power,Tubeless,5,delhi,67.0
Diesel,Sedan,61000,1,Renault,2013,Third Party,Manual,21.8,1461.0,240.0,Silver,4.0,4.0,4618.0,1813.0,1488.0,2703.0,1575.0,6 Speed MT,5,Power,Tubeless Radial,4,bangalore,78.0
Diesel,SUV,46071,1,Renault,2018,Comprehensive,Manual,20.37,1461.0,240.0,Grey,4.0,4.0,4329.0,1813.0,1626.0,2673.0,1325.0,6 Speed,5,Power,Tubeless Radial,5,bangalore,108.0
Petrol,Hatchback,55000,1,Maruti,2017,Comprehensive,Manual,20.4,1197.0,113.0,Grey,4.0,4.0,3840.0,1735.0,1530.0,2450.0,855.0,5 Speed,5,Power,Tubeless,5,delhi,81.0
Petrol,Sedan,19355,1,Skoda,2019,Comprehensive,Automatic,14.84,1598.0,153.0,Others,4.0,4.0,4413.0,1699.0,1466.0,2552.0,1179.0,6 Speed,5,Power,Tubeless Radial,4,kolkata,103.0
Diesel,SUV,58000,1,Honda,2018,Comprehensive,Manual,25.5,1498.0,200.0,Brown,4.0,4.0,3999.0,1734.0,1601.0,2555.0,1198.0,6 Speed,5,Electric,Tubeless Radial,5,delhi,98.0
Petrol,Sedan,30000,1,Fiat,2009,Third Party,Manual,14.6,1368.0,115.0,Black,4.0,4.0,4560.0,1730.0,1487.0,2603.0,1240.0,5 Speed,5,Power,Tubeless Radial,4,delhi,88.0
Petrol,Hatchback,44094,1,Maruti,2010,Comprehensive,Manual,18.9,998.0,90.0,Silver,3.0,4.0,3595.0,1495.0,1700.0,2400.0,885.0,5 Speed,5,Power,Tubeless Radial,4,hyderabad,67.0
